epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.65229,1.14647,2.63606,1.39889,0.00412,0.96857,0.51624,0.30766,1.20589,2.76089,1.54176,0.000466199,0.000466199,0.000466199
2,4.70608,1.20089,2.1037,1.4608,0.63557,0.63022,0.57881,0.2786,1.49651,2.05852,1.91817,0.000937866,0.000937866,0.000937866
3,6.74055,1.29203,2.13975,1.50384,0.61663,0.53977,0.55037,0.30281,1.59575,2.14568,2.06369,0.00140482,0.00140482,0.00140482
4,8.75784,1.33427,2.01197,1.503,0.57708,0.39508,0.39076,0.20942,1.54509,2.92211,2.01759,0.00140778,0.00140778,0.00140778
5,10.7828,1.34571,2.02567,1.52613,0.444,0.55155,0.47085,0.23784,1.5363,2.36017,1.94432,0.00140071,0.00140071,0.00140071
6,12.8058,1.34293,1.93219,1.5092,0.69141,0.39425,0.49681,0.27681,1.49342,2.19101,1.91227,0.00139363,0.00139363,0.00139363
7,14.8249,1.33411,1.81998,1.50491,0.5149,0.56312,0.52694,0.27336,1.5418,2.08179,1.93476,0.00138656,0.00138656,0.00138656
8,16.8541,1.30875,1.76469,1.48602,0.63095,0.38801,0.44088,0.22632,1.61774,1.94389,2.06967,0.00137949,0.00137949,0.00137949
9,18.8528,1.32218,1.76072,1.52034,0.35507,0.42868,0.35052,0.18018,1.69613,2.55188,2.00566,0.00137241,0.00137241,0.00137241
10,20.8818,1.27567,1.67991,1.45082,0.59235,0.54234,0.5648,0.3615,1.33324,1.6459,1.72362,0.00136534,0.00136534,0.00136534
11,22.8949,1.27601,1.63488,1.45921,0.7894,0.52934,0.59771,0.35447,1.50006,1.70006,1.96936,0.00135826,0.00135826,0.00135826
12,24.9109,1.25452,1.55386,1.43554,0.64415,0.58542,0.6897,0.4335,1.30489,1.40968,1.69034,0.00135119,0.00135119,0.00135119
13,26.9006,1.22241,1.47943,1.4305,0.68327,0.53795,0.557,0.33221,1.41875,1.72436,1.82384,0.00134412,0.00134412,0.00134412
14,28.9281,1.25119,1.50693,1.43794,0.62379,0.51045,0.57768,0.35034,1.33343,1.74744,1.69826,0.00133704,0.00133704,0.00133704
15,30.9411,1.15197,1.41753,1.38003,0.73816,0.51161,0.65033,0.39316,1.36644,1.53504,1.71651,0.00132997,0.00132997,0.00132997
16,32.9535,1.18652,1.37656,1.37413,0.7229,0.51888,0.57256,0.32631,1.51623,1.63581,1.91874,0.0013229,0.0013229,0.0013229
17,34.9763,1.15555,1.33424,1.34301,0.5969,0.56563,0.55582,0.32524,1.49328,1.62156,1.84193,0.00131582,0.00131582,0.00131582
18,37.0148,1.13798,1.28981,1.35005,0.68177,0.47577,0.58372,0.3139,1.57392,1.66023,1.98591,0.00130875,0.00130875,0.00130875
19,39.0069,1.17176,1.30399,1.40258,0.50642,0.54636,0.56149,0.34743,1.35166,1.55285,1.73507,0.00130168,0.00130168,0.00130168
20,41.0127,1.16904,1.32395,1.39167,0.50883,0.60747,0.55944,0.3417,1.42918,1.57186,1.81523,0.0012946,0.0012946,0.0012946
21,43.0055,1.14904,1.2723,1.39997,0.60891,0.65323,0.63426,0.40168,1.33462,1.5139,1.77708,0.00128753,0.00128753,0.00128753
22,44.9747,1.15688,1.24995,1.37677,0.66389,0.61864,0.67862,0.40509,1.46417,1.36882,1.86178,0.00128046,0.00128046,0.00128046
23,47.0083,1.14933,1.21513,1.37196,0.63285,0.71616,0.69803,0.43602,1.35597,1.36129,1.69603,0.00127338,0.00127338,0.00127338
24,49.037,1.17168,1.2732,1.36834,0.72872,0.70315,0.73235,0.42875,1.30327,1.24261,1.67887,0.00126631,0.00126631,0.00126631
25,51.0135,1.08708,1.23319,1.34186,0.7609,0.5827,0.67967,0.43131,1.337,1.36924,1.7003,0.00125923,0.00125923,0.00125923
26,53.0279,1.12945,1.15375,1.36318,0.65194,0.70832,0.72185,0.42764,1.37055,1.23402,1.70335,0.00125216,0.00125216,0.00125216
27,55.0496,1.15625,1.1867,1.36875,0.65378,0.67768,0.67866,0.42706,1.32352,1.38205,1.68071,0.00124509,0.00124509,0.00124509
28,57.0508,1.11379,1.14307,1.33401,0.6982,0.69791,0.76544,0.4885,1.31933,1.3005,1.7125,0.00123801,0.00123801,0.00123801
29,59.0643,1.13204,1.15139,1.3496,0.64858,0.56295,0.66614,0.42343,1.44099,1.47579,1.84312,0.00123094,0.00123094,0.00123094
30,61.0829,1.07029,1.08111,1.30154,0.73226,0.69083,0.76474,0.44958,1.35594,1.25826,1.72821,0.00122387,0.00122387,0.00122387
31,63.084,1.05502,1.12698,1.29848,0.68383,0.53534,0.6527,0.40365,1.36112,1.42912,1.75413,0.00121679,0.00121679,0.00121679
32,65.1182,1.02829,1.0916,1.26528,0.67534,0.70412,0.75249,0.50278,1.24258,1.15741,1.60705,0.00120972,0.00120972,0.00120972
33,67.1215,1.05967,1.04504,1.30531,0.73787,0.62582,0.65785,0.44017,1.29017,1.36277,1.70545,0.00120265,0.00120265,0.00120265
34,69.0971,1.03897,1.05719,1.3075,0.67655,0.65156,0.70984,0.47757,1.26473,1.26744,1.65291,0.00119557,0.00119557,0.00119557
35,71.0765,1.04282,1.06806,1.28962,0.776,0.74445,0.80919,0.55282,1.17963,1.10821,1.53451,0.0011885,0.0011885,0.0011885
36,73.065,1.02698,1.01799,1.28989,0.8059,0.73758,0.76349,0.47577,1.31772,1.17313,1.66971,0.00118143,0.00118143,0.00118143
37,75.0629,1.05947,1.01283,1.28941,0.72527,0.77135,0.79436,0.49714,1.29808,1.10025,1.64374,0.00117435,0.00117435,0.00117435
38,77.0219,1.01168,1.00166,1.27171,0.88608,0.61773,0.79334,0.49027,1.27805,1.11023,1.67387,0.00116728,0.00116728,0.00116728
39,79.0227,1.00586,0.99161,1.25889,0.68981,0.64748,0.7024,0.46401,1.34083,1.16392,1.71019,0.00116021,0.00116021,0.00116021
40,81.0455,1.00222,0.94723,1.26949,0.53538,0.62679,0.61069,0.41793,1.26476,1.42756,1.6879,0.00115313,0.00115313,0.00115313
41,83.0641,0.99855,0.96763,1.28713,0.81283,0.50803,0.5809,0.389,1.54569,1.61652,1.95653,0.00114606,0.00114606,0.00114606
42,85.049,1.03562,0.97842,1.28435,0.63027,0.54312,0.58516,0.38643,1.44275,1.56371,1.83091,0.00113898,0.00113898,0.00113898
43,87.085,1.04268,0.97793,1.28892,0.77077,0.48839,0.67406,0.43357,1.29154,1.28509,1.63617,0.00113191,0.00113191,0.00113191
44,89.0548,1.00409,0.93862,1.2851,0.64155,0.68432,0.72559,0.49734,1.2371,1.27497,1.54725,0.00112484,0.00112484,0.00112484
45,91.0838,1.00857,0.90311,1.25723,0.69971,0.68318,0.73528,0.48742,1.20574,1.19606,1.56655,0.00111776,0.00111776,0.00111776
46,93.0938,0.97414,0.9031,1.24164,0.6921,0.62284,0.65978,0.44523,1.264,1.26116,1.63723,0.00111069,0.00111069,0.00111069
47,95.0767,0.99623,0.94657,1.24445,0.72778,0.65452,0.73297,0.44382,1.38908,1.16822,1.70022,0.00110362,0.00110362,0.00110362
48,97.0782,0.99771,0.9571,1.26555,0.79479,0.59131,0.72093,0.48176,1.28366,1.17271,1.65043,0.00109654,0.00109654,0.00109654
49,99.079,0.99578,0.93931,1.25709,0.74779,0.67595,0.75892,0.47812,1.26534,1.20271,1.56938,0.00108947,0.00108947,0.00108947
50,101.098,0.97215,0.89731,1.22581,0.62699,0.689,0.65391,0.39684,1.44512,1.27112,1.84794,0.0010824,0.0010824,0.0010824
