epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.52039,1.15707,2.64035,1.42164,0.88203,0.10425,0.45093,0.19668,1.67561,3.82267,2.36884,0.000652482,0.000652482,0.000652482
2,4.4755,1.32775,2.50402,1.58839,0.58356,0.54167,0.53892,0.21097,1.90836,4.01029,2.67515,0.00131911,0.00131911,0.00131911
3,6.42091,1.47929,2.42085,1.67831,0.39196,0.41667,0.32255,0.13162,2.14198,4.20804,2.99828,0.0019856,0.0019856,0.0019856
4,8.27929,1.58423,2.37333,1.728,0.11836,0.22222,0.08588,0.03608,2.51392,10.5617,3.22995,0.00199951,0.00199951,0.00199951
5,10.234,1.55125,2.22682,1.72014,0.22794,0.16667,0.13408,0.04997,2.5457,13.2344,3.4365,0.00199913,0.00199913,0.00199913
6,12.1361,1.571,2.13788,1.73686,0.3952,0.31944,0.3102,0.12578,2.27658,3.76589,2.9493,0.00199864,0.00199864,0.00199864
7,14.1528,1.56231,2.09576,1.72102,0.37536,0.41667,0.38695,0.17502,2.15293,3.65152,2.62527,0.00199805,0.00199805,0.00199805
8,16.1382,1.52858,1.92578,1.697,0.47835,0.375,0.38543,0.16514,1.8189,3.2071,2.3947,0.00199734,0.00199734,0.00199734
9,18.0355,1.48743,1.83166,1.66588,0.48711,0.48611,0.48574,0.23466,1.73531,2.27699,2.22152,0.00199653,0.00199653,0.00199653
10,20.0305,1.39395,1.67379,1.57069,0.55796,0.66667,0.59509,0.32125,1.56129,2.64704,2.14339,0.00199561,0.00199561,0.00199561
11,22.8906,1.42146,1.67005,1.6077,0.50797,0.45833,0.44595,0.21612,1.81852,2.40061,2.32235,0.00199458,0.00199458,0.00199458
12,26.2797,1.44119,1.72765,1.62903,0.4004,0.52868,0.46565,0.23172,1.72281,1.93542,2.09606,0.00199344,0.00199344,0.00199344
13,29.832,1.39397,1.57686,1.58383,0.61238,0.63635,0.60898,0.33494,1.57841,1.79562,1.95735,0.00199219,0.00199219,0.00199219
14,33.2148,1.43096,1.6497,1.59015,0.6247,0.61111,0.6012,0.30345,1.70784,2.13448,2.17722,0.00199084,0.00199084,0.00199084
15,36.5904,1.36966,1.53926,1.51854,0.69822,0.64274,0.70784,0.37055,1.68789,2.22164,2.11229,0.00198938,0.00198938,0.00198938
16,39.9855,1.30207,1.40549,1.47603,0.50503,0.63889,0.57604,0.28001,1.85395,1.84924,2.28676,0.00198781,0.00198781,0.00198781
17,43.3385,1.32609,1.38509,1.49528,0.63141,0.56944,0.57114,0.31236,1.62894,1.92933,2.07932,0.00198614,0.00198614,0.00198614
18,46.7939,1.30715,1.36196,1.4693,0.66037,0.59414,0.70662,0.38422,1.50263,1.64764,1.93577,0.00198435,0.00198435,0.00198435
19,50.1744,1.36914,1.46153,1.56715,0.50082,0.65278,0.60298,0.30692,1.77158,1.75455,2.23434,0.00198246,0.00198246,0.00198246
20,53.5432,1.31914,1.51255,1.53589,0.51292,0.52778,0.47785,0.23806,1.94251,2.29223,2.37549,0.00198047,0.00198047,0.00198047
21,56.9256,1.32658,1.43474,1.54014,0.71722,0.72222,0.77865,0.42655,1.49193,1.49861,1.87321,0.00197837,0.00197837,0.00197837
22,60.3867,1.29169,1.38591,1.48257,0.90654,0.53891,0.68459,0.34072,1.7207,1.77619,2.14633,0.00197616,0.00197616,0.00197616
23,63.7438,1.2941,1.38043,1.48593,0.85801,0.52778,0.73067,0.40182,1.57785,1.8622,2.05344,0.00197384,0.00197384,0.00197384
24,67.1311,1.30932,1.36568,1.48994,0.76271,0.75895,0.82369,0.42178,1.59946,1.60633,2.14971,0.00197142,0.00197142,0.00197142
25,70.4837,1.2161,1.35839,1.45794,0.88367,0.73611,0.8395,0.41952,1.56146,1.41341,1.97742,0.0019689,0.0019689,0.0019689
26,73.9343,1.2996,1.32359,1.49161,0.86736,0.65278,0.78392,0.46626,1.49151,1.53038,1.98502,0.00196627,0.00196627,0.00196627
27,77.3226,1.2553,1.26292,1.47335,0.81845,0.73611,0.81477,0.46612,1.4414,1.24395,1.88868,0.00196353,0.00196353,0.00196353
28,80.7009,1.23477,1.29138,1.44262,0.73348,0.52778,0.66079,0.35532,1.7374,1.61216,2.16067,0.00196069,0.00196069,0.00196069
29,84.0949,1.28589,1.25537,1.48355,0.75885,0.79167,0.80373,0.42716,1.63373,1.51424,2.0337,0.00195775,0.00195775,0.00195775
30,87.4784,1.20788,1.14685,1.39734,0.77088,0.79167,0.8031,0.48846,1.34856,1.36176,1.78634,0.0019547,0.0019547,0.0019547
31,91.0452,1.18641,1.21797,1.42301,0.74455,0.76919,0.79719,0.46564,1.4736,1.30528,1.94825,0.00195155,0.00195155,0.00195155
32,94.4465,1.1706,1.15033,1.4174,0.66899,0.73611,0.68583,0.38432,1.48582,1.4614,1.95181,0.00194829,0.00194829,0.00194829
33,97.8094,1.2085,1.20899,1.44147,0.80966,0.69444,0.80365,0.46343,1.46228,1.30631,1.91023,0.00194493,0.00194493,0.00194493
34,101.188,1.22265,1.18805,1.47849,0.72628,0.73707,0.81195,0.46477,1.46224,1.36188,1.9274,0.00194147,0.00194147,0.00194147
35,104.637,1.19186,1.15425,1.4085,0.78065,0.7909,0.83393,0.45559,1.52946,1.2995,1.92986,0.00193791,0.00193791,0.00193791
36,108.027,1.14232,1.12959,1.39501,0.77267,0.55556,0.68671,0.39661,1.55426,1.74041,1.90355,0.00193424,0.00193424,0.00193424
37,111.41,1.19366,1.21792,1.43094,0.80394,0.66667,0.79184,0.4762,1.48121,1.33955,1.88649,0.00193048,0.00193048,0.00193048
38,114.813,1.20862,1.06782,1.4169,0.80765,0.68056,0.78717,0.47247,1.40748,1.32384,1.86089,0.00192661,0.00192661,0.00192661
39,118.204,1.13459,1.11929,1.37549,0.84406,0.76389,0.81575,0.4894,1.45189,1.24326,1.91578,0.00192264,0.00192264,0.00192264
40,121.669,1.09493,1.10957,1.35427,0.88144,0.82615,0.88131,0.50746,1.43311,1.32696,1.89108,0.00191858,0.00191858,0.00191858
41,125.055,1.10044,1.08919,1.35447,0.8441,0.67685,0.79406,0.42781,1.63592,1.48499,2.29072,0.00191441,0.00191441,0.00191441
42,128.439,1.15387,1.09785,1.40748,0.7978,0.81944,0.81843,0.46935,1.59915,1.2029,2.074,0.00191014,0.00191014,0.00191014
